Company Name,Channel Normalised,Contact Email,Contact Name,Deal ID,Deal Stage,Deal Status,Deal Value EUR,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Week Starting,Ticket Type,Lead Source,Notes
21Shares,Referral,andersson@21shares.com,I. Andersson,POT-2026-024,Qualified,Open,6021,2026,Qtr 1,January,28,2025,Qtr 4,December,14,2026,Qtr 1,January,3,2025-12-08 00:00:00,Vip Delegate,Referral,Wants to meet sovereign wealth fund attendees
21Shares,Referral,andersson@21shares.com,I. Andersson,POT-2026-063,Proposal Sent,Open,0,2025,Qtr 4,November,7,2025,Qtr 4,October,20,2025,Qtr 4,October,22,2025-10-20 00:00:00,Speaker,Referral,Needs board approval
a16z Crypto,Email,dubois@a16zcrypto.com,N. Dubois,POT-2026-008,Closed Lost,Lost,7127,2025,Qtr 4,December,28,2025,Qtr 4,December,17,2025,Qtr 4,December,28,2025-12-15 00:00:00,Vip Delegate,Email Campaign,Comparing with TOKEN2049 sponsorship
Aave Foundation,LinkedIn,,T. Nakamura,POT-2026-031,Closed Won,Won,12438,2025,Qtr 4,December,20,2025,Qtr 4,November,27,2025,Qtr 4,December,20,2025-11-24 00:00:00,Sponsor - Silver,LinkedIn,Wants to meet sovereign wealth fund attendees
Anthropic Partners,Organic,bernard@anthropicpar.com,L. Bernard,POT-2026-046,Negotiation,Open,47309,2025,Qtr 4,December,8,2025,Qtr 4,October,17,2025,Qtr 4,October,25,2025-10-13 00:00:00,Sponsor - Gold,Website Inquiry,Referred by past speaker
Anthropic Partners,Organic,johansson@anthropicpar.com,P. Johansson,POT-2026-035,Closed Won,Won,2735,2025,Qtr 4,November,20,2025,Qtr 4,October,26,2025,Qtr 4,November,20,2025-10-20 00:00:00,Delegate,Website Inquiry,Interested in speaking slot + sponsor package
Arbitrum DAO,Cold Outreach,müller@arbitrumdao.com,A. Müller,POT-2026-049,Lead,Open,441,2026,Qtr 1,January,11,2025,Qtr 4,November,18,2025,Qtr 4,December,9,2025-11-17 00:00:00,Media Pass,Cold Outreach,
Avalanche Labs,Email,,D. Okafor,POT-2026-065,Closed Lost,Lost,3467,2026,Qtr 1,January,31,2026,Qtr 1,January,3,2026,Qtr 1,January,31,2025-12-29 00:00:00,Delegate,Email Campaign,"Very engaged, quick responses"
Avalanche Labs,Email,patel@avalanchelab.com,S. Patel,POT-2026-026,Negotiation,Open,0,2025,Qtr 4,December,5,2025,Qtr 4,October,9,2025,Qtr 4,November,15,2025-10-06 00:00:00,Speaker,Email Campaign,Decision expected mid-Feb
Avalanche Labs,LinkedIn Ads,popov@avalanchelab.com,V. Popov,POT-2026-012,Lead,Open,20764,2026,Qtr 1,January,20,2025,Qtr 4,November,24,2025,Qtr 4,December,14,2025-11-24 00:00:00,Sponsor,LinkedIn Outreach,Needs board approval
Avalanche Labs,LinkedIn Ads,santos@avalanchelab.com,E. Santos,POT-2026-013,Closed Lost,Lost,28379,2026,Qtr 1,January,31,2026,Qtr 1,January,19,2026,Qtr 1,January,31,2026-01-19 00:00:00,Sponsor - Gold,LinkedIn Outreach,Interested in speaking slot + sponsor package
Avalanche Labs,Referral,santos@avalanchelab.com,E. Santos,POT-2026-059,Closed Won,Won,46682,2025,Qtr 4,November,19,2025,Qtr 4,October,11,2025,Qtr 4,November,19,2025-10-06 00:00:00,Sponsor - Gold,Referral,Previously attended POT 2024
BCG Digital,Email,al-rashid@bcgdigital.com,R. Al-Rashid,POT-2026-032,Closed Won,Won,76881,2025,Qtr 4,December,23,2025,Qtr 4,November,22,2025,Qtr 4,December,23,2025-11-17 00:00:00,Sponsor - Platinum,Email Campaign,Needs board approval
BCG Digital,LinkedIn,,S. Patel,POT-2026-058,Closed Won,Won,0,2025,Qtr 4,November,3,2025,Qtr 4,October,18,2025,Qtr 4,November,3,2025-10-13 00:00:00,Speaker,LinkedIn,Decision expected mid-Feb
